Cluster ID,Size,Keywords,Dominant Sign,IDS,Representative Example,Full Text
0,4,"change, language, constructively, survive, direct",aries (25.0%),"1459, 6679, 8419, 21530","You are no stranger to change, but it may take some reining in of your personal power in order to di...","You are no stranger to change, but it may take some reining in of your personal power in order to direct your ability to change constructively. Imagine you are both your own father and your own mother (depending on your age, this will be easier or harder to do), and create your boundaries , including your actions and language, your limits in relationships and your requirements on the job. You are also in charge of nurturing yourself with the food, the rest, the exercise, the affection you need to survive. Don't forget to give yourself a lot of positive reinforcement! You are no stranger to change, but it may take some reining in of your personal power in order to direct your ability to change constructively. Imagine you are both your own father and your own mother (depending on your age, this will be easier or harder to do), and create your boundaries , including your actions and language, your limits in relationships and your requirements on the job. You are also in charge of nurturing yourself with the food, the rest, the exercise, the affection you need to survive. Don't forget to give yourself a lot of positive reinforcement! You are no stranger to change, but it may take some reining in of your personal power in order to direct your ability to change constructively. Imagine you are both your own father and your own mother (depending on your age, this will be easier or harder to do), and create your boundaries , including your actions and language, your limits in relationships and your requirements on the job. You are also in charge of nurturing yourself with the food, the rest, the exercise, the affection you need to survive. Don't forget to give yourself a lot of positive reinforcement! You are no stranger to change, but it may take some reining in of your personal power in order to direct your ability to change constructively. Imagine you are both your own father and your own mother (depending on your age, this will be easier or harder to do), and create your boundaries - your actions and language, your limits in relationships, your requirements on the job - and you are also in charge of nurturing yourself with the food, the rest, the exercise, the affection you need to survive. Don't forget to give yourself a lot of positive reinforcement!"
1,3,"giving, love, depends, ungrateful, dose",aries (33.3%),"1099, 16099, 21319",The world depends on you to give a daily dose of understanding and acceptance. All too often you fee...,The world depends on you to give a daily dose of understanding and acceptance. All too often you feel under-appreciated and not recognized for the love you give. Maybe it's time to set some limits and turn that accepting love back towards yourself instead of giving it to the ungrateful! The problem is you don't find that to be easy. Hint: start with your diet. Are you giving yourself the best and freshest food possible? Are you getting enough vitamins and minerals? Are you drinking plenty of water? Turning the focus onto your own needs will help you sustain your giving nature. The world depends on you to give a daily dose of understanding and acceptance. All too often you feel under-appreciated and not recognized for the love you give. Maybe it's time to set some limits and turn that accepting love back towards yourself instead of giving it to the ungrateful! The problem is you don't find that to be easy. Hint: start with your diet. Are you giving yourself the best and freshest food possible? Are you getting enough vitamins and minerals? Are you drinking plenty of water? Turning the focus onto your own needs will help you sustain your giving nature. The world depends on you to give a daily dose of understanding and acceptance. All too often you feel under-appreciated and not recognized for the love you give. Maybe it's time to set some limits and turn that accepting love back towards yourself instead of giving it to the ungrateful! The problem is you don't find that to be easy. Hint: start with your diet. Are you giving yourself the best and freshest food possible? Are you getting enough vitamins and minerals? Are you drinking plenty of water? Turning the focus onto your own needs will help you sustain your giving nature.
2,3,"open, new, possibility, virtue, forgiving",aries (33.3%),"1102, 19582, 21322",You have a great quality: the virtue of acceptance. Though not always forgiving after a bad experien...,"You have a great quality: the virtue of acceptance. Though not always forgiving after a bad experience, you are open to almost anything new. This is an excellent time to ask yourself what new avenues of physical activity you would like to open up to. The goal will be to choose something you are able to stick with. If you want to explore a higher level of what you are currently doing, open up to that possibility as well. You have a great quality: the virtue of acceptance. Though not always forgiving after a bad experience, you are open to almost anything new. This is an excellent time to ask yourself what new avenues of physical activity you would like to open up to. The goal will be to choose something you are able to stick with. If you want to explore a higher level of what you are currently doing, open up to that possibility as well. You have a great quality: the virtue of acceptance. Though not always forgiving after a bad experience, you are open to almost anything new. This is an excellent time to ask yourself what new avenues of physical activity you would like to open up to. The goal will be to choose something you are able to stick with. If you want to explore a higher level of what you are currently doing, open up to that possibility as well."
3,3,"discipline, noticing, scare, guillotine, goes",aries (33.3%),"1189, 2929, 17929","When it comes to discipline, you sometimes react as though the guillotine had been drawn! The resist...","When it comes to discipline, you sometimes react as though the guillotine had been drawn! The resistance to discipline can be quite strong. For instance, if you begin to think of all the things you could be doing to live a healthier life you could easily scare yourself. Try noticing what you already do that is working for you, then try to figure out what you really enjoy and what feels like a chore. Perhaps you can adjust and put more in of the former and reduce the latter. See how it goes. When it comes to discipline, you sometimes react as though the guillotine had been drawn! The resistance to discipline can be quite strong. For instance, if you begin to think of all the things you could be doing to live a healthier life you could easily scare yourself. Try noticing what you already do that is working for you, then try to figure out what you really enjoy and what feels like a chore. Perhaps you can adjust and put more in of the former and reduce the latter. See how it goes. When it comes to discipline, you sometimes react as though the guillotine had been drawn! The resistance to discipline can be quite strong. For instance, if you begin to think of all the things you could be doing to live a healthier life you could easily scare yourself. Try noticing what you already do that is working for you, then try to figure out what you really enjoy and what feels like a chore. Perhaps you can adjust and put more in of the former and reduce the latter. See how it goes."
4,3,"restaurants, eating, potatoes, delivery, personality",aries (33.3%),"1192, 2932, 21412","You enjoy eating takeout or delivery often, and you know that taking action for a healthier lifestyl...","You enjoy eating takeout or delivery often, and you know that taking action for a healthier lifestyle can be as simple as ordering fish and salad rather than meat and potatoes. This is a good time to bring your personality into your own kitchen and try to recreate the dishes you have enjoyed eating from restaurants. Many restaurants publish their own cookbooks! As you get familiar with preparing food for yourself, you will start to notice little things that make a big difference. You enjoy eating takeout or delivery often, and you know that taking action for a healthier lifestyle can be as simple as ordering fish and salad rather than meat and potatoes. This is a good time to bring your personality into your own kitchen and try to recreate the dishes you have enjoyed eating from restaurants. Many restaurants publish their own cookbooks! As you get familiar with preparing food for yourself, you will start to notice little things that make a big difference. You enjoy eating takeout or delivery often, and you know that taking action for a healthier lifestyle can be as simple as ordering fish and salad rather than meat and potatoes. This is a good time to bring your personality into your own kitchen and try to recreate the dishes you have enjoyed eating from restaurants. Many restaurants publish their own cookbooks! As you get familiar with preparing food for yourself, you will start to notice little things that make a big difference."
5,3,"change, tentative, tuning, refine, exhilarating",aries (33.3%),"1251, 19731, 21471","Change is something you are tentative about, but with the right approach you can also find it exhila...","Change is something you are tentative about, but with the right approach you can also find it exhilarating! The celestial energy gives everyone the chance to radically change something - from a haircut to a breakup! Ask yourself what would be a positive step. Chances are, you will look to your health practices and notice a little fine-tuning is needed on your goals. Try to make some time in the next couple of days to refine them. Change is something you are tentative about, but with the right approach you can also find it exhilarating! The celestial energy gives everyone the chance to radically change something - from a haircut to a breakup! Ask yourself what would be a positive step. Chances are, you will look to your health practices and notice a little fine-tuning is needed on your goals. Try to make some time in the next couple of days to refine them. Change is something you are tentative about, but with the right approach you can also find it exhilarating! The celestial energy gives everyone the chance to radically change something - from a haircut to a breakup! Ask yourself what would be a positive step. Chances are, you will look to your health practices and notice a little fine-tuning is needed on your goals. Try to make some time in the next couple of days to refine them."
6,3,"goals, abide, optimistic, hopeful, forge",aries (33.3%),"1282, 3022, 4762","Today's planetary aspect is splendid for creativity! So, consider creating a promise to yourself. Fi...","Today's planetary aspect is splendid for creativity! So, consider creating a promise to yourself. First take a look at what you can do to promote your own well-being, then determine your goals and forge the commitment to abide by them. Bearing in mind that your health practices are for your benefit and of your choosing, you should feel optimistic and hopeful. Check in with yourself and note any doubts or fears. If you don't feel comfortable with your goals, you may want to lighten up. Today's planetary aspect is splendid for creativity! So, consider creating a promise to yourself. First take a look at what you can do to promote your own well-being, then determine your goals and forge the commitment to abide by them. Bearing in mind that your health practices are for your benefit and of your choosing, you should feel optimistic and hopeful. Check in with yourself and note any doubts or fears. If you don't feel comfortable with your goals, you may want to lighten up. Today's planetary aspect is splendid for creativity! So, consider creating a promise to yourself. First take a look at what you can do to promote your own well-being, then determine your goals and forge the commitment to abide by them. Bearing in mind that your health practices are for your benefit and of your choosing, you should feel optimistic and hopeful. Check in with yourself and note any doubts or fears. If you don't feel comfortable with your goals, you may want to lighten up."
7,3,"weather, deeper, maintain, passion, estranged",aries (66.7%),"1294, 1443, 4774",You may feel that you're on a roller coaster with the one you love. One day it's all about physical ...,"You may feel that you're on a roller coaster with the one you love. One day it's all about physical passion, the next day you feel estranged. If you can weather the ups and downs, you'll gain a deeper understanding of what you really want out of a relationship. Reproductive health is very important to maintain, even if you're not thinking about having kids. There are also many natural health products available that support you in maintaining your wellbeing in this area. You may feel that you're on a roller coaster with the one you love. One day it's all about physical passion, the next day you feel estranged. If you can weather the up's and down's, you'll gain a deeper understanding of what you really want out of a relationship. Reproductive health is especially important to maintain, even if you're not thinking about having kids. There are also many natural health products available that support you in maintaining your wellbeing in this area. You may feel that you're on a roller coaster with the one you love. One day it's all about physical passion, the next day you feel estranged. If you can weather the ups and downs, you'll gain a deeper understanding of what you really want out of a relationship. Reproductive health is very important to maintain, even if you're not thinking about having kids. There are also many natural health products available that support you in maintaining your wellbeing in this area."
8,3,"sleep, remember, help, night, quiets",aries (33.3%),"1319, 8428, 21539",The day's planetary aspect offers a good reminder to make sleep your priority. Remember that sleep n...,"The day's planetary aspect offers a good reminder to make sleep your priority. Remember that sleep nurtures you more than anything. Many people find themselves restless at bedtime. When the world quiets down at night, for many it seems like the volume on their thoughts gets turned way up, making it difficult to relax and drift off to sleep. It can help to establish a routine, like what you may have done as a child, to remember how to properly fall asleep. Finding it hard to pry your phone out of your hands even though you are mentally and physically exhausted? Try leaving it in the other room or using it to play a guided meditation or hypnosis session designed to help you sleep. The day's planetary aspect offers a good reminder to make sleep your priority. Remember that sleep nurtures you more than anything. Many people find themselves restless at bedtime. When the mind quiets down at night, many things can rush in and distract you from continuing to relax. It can help to establish a routine, like what you may have done as a child, to remember how to properly fall asleep. Follow the same routine each night, and your body will help you ease into relaxing dreamland. The day's planetary aspect offers a good reminder to make sleep your priority. Remember that sleep nurtures you more than anything. Many people find themselves restless at bedtime. When the world quiets down at night, for many it seems like the volume on their thoughts gets turned way up, making it difficult to relax and drift off to sleep. It can help to establish a routine, like what you may have done as a child, to remember how to properly fall asleep. Finding it hard to pry your phone out of your hands even though you are mentally and physically exhausted? Try leaving it in the other room or using it to play a guided meditation or hypnosis session designed to help you sleep."
9,3,"regular, footing, catching, background, hang",aries (33.3%),"1341, 3081, 21561","You are happy at the center of attention, but when change is afoot you prefer to hang in the backgro...","You are happy at the center of attention, but when change is afoot you prefer to hang in the background. With today's planetary alignment, your mind will be catching up with your feelings, trying to figure out what it is that you really want. Don't push yourself to be too social these next couple of days. Instead, focus on what can give you the most secure footing: regular exercise, light meals and regular sleeping hours. Take care of yourself! You are happy at the center of attention, but when change is afoot you prefer to hang in the background. With today's planetary alignment, your mind will be catching up with your feelings, trying to figure out what it is that you really want. Don't push yourself to be too social these next couple of days. Instead, focus on what can give you the most secure footing: regular exercise, light meals and regular sleeping hours. Take care of yourself! You are happy at the center of attention, but when change is afoot you prefer to hang in the background. With today's planetary alignment, your mind will be catching up with your feelings, trying to figure out what it is that you really want. Don't push yourself to be too social these next couple of days. Instead, focus on what can give you the most secure footing: regular exercise, light meals and regular sleeping hours. Take care of yourself!"
10,3,"change, uptight, signals, particular, nerves",aries (33.3%),"1431, 3171, 4911","You may or may not be pleased while the planetary alignment lasts, as this aspect signals radical ch...","You may or may not be pleased while the planetary alignment lasts, as this aspect signals radical change. You may be ready for change, in which case you'll welcome this particular energy, or you may be nervous at the thought of change and get a bit uptight! Either way, you need to slow down the pace and get into a routine of deep breathing so that you can move through the next few days with calm intention. Yoga calms your nerves through breath, so why not try it? You may or may not be pleased while the planetary alignment lasts, as this aspect signals radical change. You may be ready for change, in which case you'll welcome this particular energy, or you may be nervous at the thought of change and get a bit uptight! Either way, you need to slow down the pace and get into a routine of deep breathing so that you can move through the next few days with calm intention. Yoga calms your nerves through breath, so why not try it? You may or may not be pleased while the planetary alignment lasts, as this aspect signals radical change. You may be ready for change, in which case you'll welcome this particular energy, or you may be nervous at the thought of change and get a bit uptight! Either way, you need to slow down the pace and get into a routine of deep breathing so that you can move through the next few days with calm intention. Yoga calms your nerves through breath, so why not try it?"
11,3,"emotional, water, temper, lubricated, intensity",aries (33.3%),"1446, 3037, 6666","You should notice that things bear little resistance today. Not that you mind intensity, but it's ve...","You should notice that things bear little resistance today. Not that you mind intensity, but it's very important that you drink a lot of water in order to temper the emotional expansion of the day's energy. On an imperceptible energetic level, you are being tested, and it's critical that you stay present. Drinking water will help you keep your emotional self ""lubricated."" Trust me. You should notice that things bear little resistance today. Not that you mind intensity, but it's very important that you drink a lot of water in order to temper the emotional expansion of the day's energy. On an imperceptible energetic level, you are being tested, and it's critical that you stay present. Drinking water will help you keep your emotional self ""lubricated."" Trust me. You should notice that things bear little resistance today. Not that you mind intensity, but it's very important that you drink a lot of water in order to temper the emotional expansion of the day's energy. On an imperceptible energetic level, you are being tested, and it's critical that you stay present. Drinking water will help you keep your emotional self ""lubricated."" Trust me."
